OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS
3140310,04092010533,O'Charleys,101 ASHVILLE AVE ,,CARY,NC,27511-6606,(919) 851-9777,1991/04/22 04:00:00+00,Restaurant,7,-78.78354467,35.73867895,M
3140311,04092010618,Roast Grill,7 S WEST ST ,,RALEIGH,NC,27603-1831,(919) 832-8292,1991/04/22 04:00:00+00,Restaurant,16,-78.64564398,35.78023303,M
3140312,04092014098,Assaggio's Pizzeria Ristorante,7417 Sunset Lake RD ,,FUQUAY VARINA,NC,27526,(919) 557-9505,2004/07/19 04:00:00+00,Restaurant,53,-78.77604319,35.59548799,M
3140313,04092110110,Southeast Raleigh H.S.Cafeteria,2600 ROCK QUARRY RD ,,RALEIGH,NC,27610-5102,(919) 856-2800 ext. 24980,1997/07/28 04:00:00+00,Public School Lunchrooms,105,-78.60409641,35.74535353,M
3140314,04092013461,Pine Hollow Golf Club Food Service,3300 GARNER RD ,,CLAYTON,NC,27520-9306,(919) 553-4554,2001/11/30 05:00:00+00,Restaurant,71,-78.50626539,35.67653726,M
3140315,04092010037,AUBREY & PEEDIE'S GRILL,38 N Main ST ,,WENDELL,NC,27591,(919) 365-5528,1991/04/25 04:00:00+00,Restaurant,149,-78.36945437,35.78246543,M
3140316,04092010070,Bojangles # 3,1013 NEW BERN AVE ,,RALEIGH,NC,27601-1605,(919) 821-3735,1991/04/25 04:00:00+00,Restaurant,153,-78.62299019,35.78024331,M
3140317,04092010262,First Baptist Church,99 N SALISBURY ST ,,RALEIGH,NC,27603-1737,(919) 961-5953,1991/04/25 04:00:00+00,Restaurant,172,-78.6407387,35.7809656,M
3140318,04092010845,42nd St Oyster Bar,508 W JONES ST ,,RALEIGH,NC,27603-1429,(919) 831-2811,1991/04/25 04:00:00+00,Restaurant,173,-78.6463342,35.78313026,M
3140319,04092010274,Franks Pizza Restaurant,2030 NEW BERN AVE ,,RALEIGH,NC,27610-2429,(919) 231-8990,1991/04/25 04:00:00+00,Restaurant,174,-78.60562461,35.778714,M
3140320,04092010548,William Peace University Cafeteria,15 E Peace St ,,RALEIGH,NC,27604-1176,(919) 508-2342,1991/04/29 04:00:00+00,Restaurant,202,-78.63745249,35.78928549,M
3140321,04092010065,Biscuitville,2426 Wake Forest Rd,,RALEIGH,NC,27608-1710,(919) 821-2060,1991/04/29 04:00:00+00,Restaurant,211,-78.62569015,35.81542604,M
3140322,04092010076,The Border Restaurant,712 N Main St,,WAKE FOREST,NC,27587,(919) 556-2125,1991/04/29 04:00:00+00,Restaurant,217,-78.50485152,35.98936616,M
3140323,04092010189,North Raleigh Courtyard By Marriott,1041 WAKE TOWNE DR ,,RALEIGH,NC,27609-7850,(919) 821-3400,1991/04/29 04:00:00+00,Restaurant,222,-78.62297533,35.82407619,M
3140324,04092012056,Torero's Mexican Restaurant V,1207-C Kildaire Farm Rd ,,CARY,NC,27511,(919) 468-8711,1997/06/03 04:00:00+00,Restaurant,80,-78.7834338,35.76424145,M
3140325,04092010658,Shortys,214 S White ST ,,WAKE FOREST,NC,27587,(919) 556-8026,1991/04/29 04:00:00+00,Restaurant,247,-78.51012865,35.97760401,M
3140326,04092020121,Han-Dee Hugo's #47,4120 GLENWOOD AVE ,,RALEIGH,NC,27612-4626,(919) 881-9246,1991/04/29 04:00:00+00,Food Stand,276,-78.6725054,35.83778154,M
3140327,04092020237,Snoopy's # 1,1931 Wake Forest Rd,,RALEIGH,NC,27608-2731,(919) 833-0992,1991/04/29 04:00:00+00,Food Stand,288,-78.62502539,35.80726948,M
3140328,04092010661,Side Street Restaurant,225 N Bloodworth St ,,RALEIGH,NC,27601-1105,(919) 828-4927,1991/04/29 04:00:00+00,Restaurant,292,-78.63331201,35.78351455,M
3140329,04092010795,Watkins Grill,1625 Wake Forest Rd,,RALEIGH,NC,27604-1332,(919) 834-0467,1991/05/01 04:00:00+00,Restaurant,305,-78.62518779,35.80177768,M
3140330,04092090004,Wendell Senior Nutrition Site,323 LAKE DR ,,WENDELL,NC,27591-9492,(919) 365-4684,1991/05/01 04:00:00+00,Elderly Nutrition Sites (catered),308,-78.36549207,35.77892806,M
3140331,04092012113,China Chef,930 US 64 HWY W ,,APEX,NC,27523,(919) 468-8982,1997/08/08 04:00:00+00,Restaurant,313,-78.82081015,35.74556916,M
3140332,04092110109,Olive Chapel Elementary Cafeteria,1751 OLIVE CHAPEL RD ,,APEX,NC,27502-4862,(919) 387-4449,1997/08/14 04:00:00+00,Public School Lunchrooms,316,-78.89411999,35.73464019,M
3140333,04092012200,N.Y.Pizza,6458 TRYON RD,,CARY,NC,27518,(919) 852-2242,1998/02/05 05:00:00+00,Restaurant,332,-78.7615544,35.74559939,M
